id,name,constellation,coord,glon,glat,gal_coord,Vmag,n_Vmag,u_Vmag,spectral_type,spectral_type_full,n_spectral_type,RI,n_RI,BV,u_BV,UB,u_UB,RadVel,RotVel,Parallax,n_Parallax,g_coord_l_rad,g_coord_b_rad,coord_ra_deg,coord_dec_deg
4226,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (161.91125, -57.46777778)>",286.87,1.49,"<SkyCoord (Galactic): (l, b) in deg
    (286.87, 1.49)>",6.36, , ,M,M1II, ,, ,1.62, ,1.86, ,2.0,,, ,-1.276359281983453,0.02600540585471551,161.91124999999997,-57.467777777777776
4227, 53    Leo,Leo,"<SkyCoord (ICRS): (ra, dec) in deg
    (162.31416667, 10.54527778)>",237.0,56.82,"<SkyCoord (Galactic): (l, b) in deg
    (237., 56.82)>",5.34, , ,A,A2V, ,, ,0.03, ,0.02, ,-7.0,191.0,0.007, ,-2.1467549799530254,0.9916960809831781,162.31416666666667,10.545277777777777
4228,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (162.0225, -59.91916667)>",288.04,-0.66,"<SkyCoord (Galactic): (l, b) in deg
    (288.04, -0.66)>",6.0, , ,A,A0Ia-Iab, ,, ,0.27, ,-0.3, ,-24.0,,, ,-1.2559389297351191,-0.011519173063162575,162.02249999999998,-59.91916666666666
4229, 40    Sex,Sex,"<SkyCoord (ICRS): (ra, dec) in deg
    (162.32208333, -4.02416667)>",254.8,47.11,"<SkyCoord (Galactic): (l, b) in deg
    (254.8, 47.11)>",6.61, , ,A,A2IV, ,, ,0.22, ,0.08, ,14.0,,0.011,D,-1.8360863730980346,0.8222246106145287,162.32208333333332,-4.024166666666667
4230, 44    LMi,LMi,"<SkyCoord (ICRS): (ra, dec) in deg
    (162.47375, 27.97388889)>",204.02,63.12,"<SkyCoord (Galactic): (l, b) in deg
    (204.02, 63.12)>",6.04, , ,F,F3V, ,, ,0.37, ,-0.01, ,3.0,22.0,, ,-2.722364567260755,1.1016518238588207,162.47374999999997,27.973888888888887
4231,   Del1Cha,Cha,"<SkyCoord (ICRS): (ra, dec) in deg
    (161.31541667, -80.46972222)>",297.68,-18.91,"<SkyCoord (Galactic): (l, b) in deg
    (297.68, -18.91)>",5.47, , ,K,K0III, ,, ,0.95, ,0.75, ,11.0,,0.003,D,-1.087689189842866,-0.3300417615521277,161.31541666666664,-80.46972222222223
4232,   Nu  Hya,Hya,"<SkyCoord (ICRS): (ra, dec) in deg
    (162.40625, -16.19361111)>",265.05,37.56,"<SkyCoord (Galactic): (l, b) in deg
    (265.05, 37.56)>",3.11, , ,K,K2III, ,0.64, ,1.25, ,1.3, ,-1.0,17.0,0.028, ,-1.6571901247686156,0.6555456670490702,162.40624999999997,-16.19361111111111
4233,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (162.43125, -9.85277778)>",260.17,42.69,"<SkyCoord (Galactic): (l, b) in deg
    (260.17, 42.69)>",5.86, , ,G,gG8, ,, ,1.07, ,0.91, ,40.0,,, ,-1.742362192265939,0.7450810576763792,162.43124999999998,-9.852777777777778
4234,   Del2Cha,Cha,"<SkyCoord (ICRS): (ra, dec) in deg
    (161.445, -80.54027778)>",297.74,-18.96,"<SkyCoord (Galactic): (l, b) in deg
    (297.74, -18.96)>",4.45, , ,B,B2.5IV, ,-0.2, ,-0.19, ,-0.7, ,23.0,55.0,, ,-1.0866419922916695,-0.3309144261781249,161.445,-80.54027777777777
4235, 43    UMa,UMa,"<SkyCoord (ICRS): (ra, dec) in deg
    (162.79625, 56.58222222)>",150.63,53.59,"<SkyCoord (Galactic): (l, b) in deg
    (150.63, 53.59)>",5.67, , ,K,K2III, ,, ,1.12, ,, ,15.0,,, ,2.6289894522790584,0.9353219461437613,162.79624999999996,56.58222222222223
